fico,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_util,total_acc,annual_inc,emp_length,home_ownership,loan_amnt,int_rate,term,grade,purpose,state_gdp_2012,default,dti_w,annual_inc_w,loan_amnt_w,state_gdp_2012_w,log_income,log_state_gdp,fico_10,dti_5,loan_amnt_1000
662.0,17.0,0.0,0.0,0.0,54.6,15.0,53000.0,10+ years,MORTGAGE,2500.0,14.65,36,C,home_improvement,443566.1,0,17.0,53000.0,2500.0,443566.1,10.87806606028079,13.0026021113398,66.2,3.4,2.5
732.0,8.21,0.0,0.0,0.0,26.1,21.0,45600.0,10+ years,MORTGAGE,3000.0,7.9,36,A,car,127789.1,0,8.21,45600.0,3000.0,127789.1,10.727684925086583,11.758136527773347,73.2,1.6420000000000001,3.0
662.0,17.3,0.0,0.0,0.0,91.5,13.0,76320.0,6 years,RENT,5600.0,19.22,36,D,debt_consolidation,768722.9,0,17.3,76320.0,5600.0,768722.9,11.242703408761695,13.552485845448977,66.2,3.46,5.6
817.0,5.32,0.0,0.0,0.0,4.1,6.0,65000.0,7 years,MORTGAGE,2800.0,7.62,36,A,major_purchase,1323400.8,0,5.32,65000.0,2800.0,1323400.8,11.082157933374816,14.095715345063464,81.7,1.064,2.8
702.0,4.23,0.0,2.0,0.0,21.3,10.0,20700.0,< 1 year,OWN,1925.0,10.74,36,B,home_improvement,268068.2,0,4.23,20700.0,1925.0,268068.2,9.937937287265354,12.498996704730999,70.2,0.8460000000000001,1.925
692.0,13.38,0.0,0.0,0.0,56.4,37.0,75000.0,8 years,RENT,2000.0,10.74,36,B,moving,244114.4,1,13.38,75000.0,2000.0,244114.4,11.225256725762893,12.405392246857383,69.2,2.676,2.0
662.0,11.21,0.0,0.0,0.0,87.2,38.0,135000.0,< 1 year,RENT,15000.0,19.22,36,D,credit_card,439539.7,0,11.21,135000.0,15000.0,439539.7,11.813037464800539,12.993483321948231,66.2,2.242,15.0
732.0,27.14,0.0,0.0,0.0,95.1,22.0,56200.0,2 years,MORTGAGE,1400.0,9.76,36,B,vacation,127789.1,0,27.14,56200.0,1500.0,127789.1,10.936689829317784,11.758136527773347,73.2,5.428,1.5
687.0,21.11,0.0,0.0,0.0,69.4,28.0,36500.0,6 years,RENT,2400.0,10.74,36,B,credit_card,87644.8,0,21.11,36500.0,2400.0,87644.8,10.505094936455558,11.381047561721246,68.7,4.2219999999999995,2.4
682.0,20.4,0.0,3.0,0.0,40.0,25.0,28000.0,5 years,RENT,2000.0,13.67,36,B,small_business,443566.1,0,20.4,28000.0,2000.0,443566.1,10.239995502805316,13.0026021113398,68.2,4.08,2.0
772.0,2.52,0.0,0.0,0.0,29.7,16.0,89000.0,4 years,MORTGAGE,1600.0,6.03,36,A,other,2144089.6,0,2.52,89000.0,1600.0,2144089.6,11.39640288460621,14.578225591344385,77.2,0.504,1.6
