fico,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_util,total_acc,annual_inc,emp_length,home_ownership,loan_amnt,int_rate,term,grade,purpose,state_gdp_2012,default
662.0,17.0,0.0,0.0,0.0,54.6%,15.0,53000.0,10+ years,MORTGAGE,2500.0, 14.65%, 36 months,C,home_improvement,443566.1,0
732.0,8.21,0.0,0.0,0.0,26.1%,21.0,45600.0,10+ years,MORTGAGE,3000.0,  7.90%, 36 months,A,car,127789.1,0
662.0,17.3,0.0,0.0,0.0,91.5%,13.0,76320.0,6 years,RENT,5600.0, 19.22%, 36 months,D,debt_consolidation,768722.9,0
817.0,5.32,0.0,0.0,0.0,4.1%,6.0,65000.0,7 years,MORTGAGE,2800.0,  7.62%, 36 months,A,major_purchase,1323400.8,0
702.0,4.23,0.0,2.0,0.0,21.3%,10.0,20700.0,< 1 year,OWN,1925.0, 10.74%, 36 months,B,home_improvement,268068.2,0
692.0,13.38,0.0,0.0,0.0,56.4%,37.0,75000.0,8 years,RENT,2000.0, 10.74%, 36 months,B,moving,244114.4,1
662.0,11.21,0.0,0.0,0.0,87.2%,38.0,135000.0,< 1 year,RENT,15000.0, 19.22%, 36 months,D,credit_card,439539.7,0
732.0,27.14,0.0,0.0,0.0,95.1%,22.0,56200.0,2 years,MORTGAGE,1400.0,  9.76%, 36 months,B,vacation,127789.1,0
687.0,21.11,0.0,0.0,0.0,69.4%,28.0,36500.0,6 years,RENT,2400.0, 10.74%, 36 months,B,credit_card,87644.8,0
682.0,20.4,0.0,3.0,0.0,40%,25.0,28000.0,5 years,RENT,2000.0, 13.67%, 36 months,B,small_business,443566.1,0
772.0,2.52,0.0,0.0,0.0,29.7%,16.0,89000.0,4 years,MORTGAGE,1600.0,  6.03%, 36 months,A,other,2144089.6,0
692.0,24.84,0.0,1.0,0.0,95.2%,18.0,50000.0,5 years,MORTGAGE,2000.0, 14.65%, 36 months,C,home_improvement,445120.7,0
662.0,15.07,0.0,1.0,0.0,87.7%,35.0,79000.0,5 years,RENT,4000.0, 16.29%, 36 months,C,debt_consolidation,445120.7,0
747.0,9.86,0.0,3.0,0.0,59.7%,3.0,41000.0,< 1 year,RENT,3600.0, 13.67%, 36 months,B,debt_consolidation,2144089.6,0
697.0,22.98,0.0,3.0,0.0,81.7%,18.0,51947.0,9 years,RENT,1500.0, 12.12%, 36 months,B,other,1410447.8,0
677.0,21.92,1.0,3.0,0.0,54.7%,28.0,45000.0,,MORTGAGE,2000.0, 13.99%, 36 months,C,moving,273593.9,0
702.0,5.69,0.0,0.0,0.0,84.5%,4.0,23000.0,6 years,RENT,1800.0, 10.74%, 36 months,B,debt_consolidation,400623.3,1
687.0,18.69,0.0,2.0,0.0,54.8%,30.0,70000.0,< 1 year,RENT,7200.0, 19.99%, 36 months,E,debt_consolidation,127789.1,0
692.0,13.06,0.0,1.0,0.0,47.6%,8.0,12500.0,8 years,RENT,5000.0, 13.11%, 36 months,B,credit_card,107718.8,0
687.0,26.34,0.0,1.0,0.0,11.8%,60.0,37000.0,1 year,RENT,2400.0, 19.99%, 36 months,E,credit_card,640663.1,0
717.0,29.26,0.0,3.0,0.0,21.1%,22.0,20143.0,2 years,RENT,1750.0, 12.12%, 36 months,B,debt_consolidation,540882.4,0
717.0,10.84,0.0,0.0,0.0,97.1%,7.0,30000.0,6 years,OWN,10000.0, 14.65%, 36 months,C,debt_consolidation,768722.9,1
682.0,17.69,0.0,1.0,0.0,76.8%,26.0,23000.0,4 years,RENT,1525.0, 18.55%, 60 months,D,other,768722.9,0
702.0,1.16,0.0,1.0,0.0,87.6%,5.0,150000.0,10+ years,RENT,12000.0, 18.25%, 60 months,D,debt_consolidation,1323400.8,1
